Altium Designer Pick and Place Locations
\\192.168.1.124\home\1.client\Shinshu University\SSST\SSST_blood_sugar_git\Hardware\Altium\Project Outputs\Assembly\Pick and Place\Pick Place for 4Layer_Imposition.csv

========================================================================================================================
File Design Information:

Date:       06/04/22
Time:       18:33
Revision:   eb204bdf0c7c0e3d0a31be1b51934c6902f15cc7
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R6","RG1005P-103-B-T5","BottomLayer","R1005","26.0000","43.3650","0","薄膜チップ抵抗1005サイズ"
"R5","RG1005P-512-B-T5","BottomLayer","R1005","13.0000","62.0000","0","薄膜チップ抵抗1005サイズ"
"R4","RG1005P-512-B-T5","TopLayer","R1005","14.7000","56.1000","90","薄膜チップ抵抗1005サイズ"
"R3","RG1005P-103-B-T5","TopLayer","R1005","46.0000","58.0000","270","薄膜チップ抵抗1005サイズ"
"R2","RG1608P-103-B-T5","TopLayer","R1608","41.0000","54.0000","270","薄膜チップ抵抗1608サイズ"
"R1","RG1608P-114-B-T5","TopLayer","R1608","30.5000","58.3650","180","薄膜チップ抵抗1608サイズ"
"PTC1","1206L016WR","TopLayer","1206L","16.6000","58.2000","90","Resettable PTC"
"LED2","OSRGHC3131A","TopLayer","LED3COLORS","43.0000","67.0000","180","2色LED（赤,青）"
"LED1","WP710A10GD","TopLayer","LED_T1","36.0000","67.0000","90","LED T1 GREEN"
"JP6","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","58.1000","180",""
"JP4","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","62.0750","180",""
"JP3","SMD_JAMPER","TopLayer","SMD_JAMPER","55.9000","58.1000","180",""
"JP2","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","54.1250","180",""
"JP1","SMD_JAMPER","TopLayer","SMD_JAMPER","55.9000","54.1250","180",""
"J1","B02B-PASK-1","BottomLayer","B02B-PASK-1","17.1500","51.2500","270","雄,ストレート,1列2ピン"
"D4","BAT54STA","TopLayer","SOT-23","21.1000","53.5000","90","ダブル直列ショットキー"
"D3","BAT54STA","TopLayer","SOT-23","25.5000","53.5000","90","ダブル直列ショットキー"
"D2","BAT54STA","TopLayer","SOT-23","56.1000","49.6000","90","ダブル直列ショットキー"
"D1","CDBW0520L-G","TopLayer","SOD-123","38.5000","63.7000","0","Schottky Rectifier"
"C23","C1608X5R1A106M080AC","TopLayer","C1608","23.3000","49.0000","180","セラコン1608サイズ"
"C22","GRM1552C1H101J","BottomLayer","C1005","20.6000","57.0950","180","セラコン1005サイズ"
"C21","GRM1552C1H101J","TopLayer","C1005","33.7000","60.1000","90","セラコン1005サイズ"
"C20","GRM1552C1H101J","BottomLayer","C1005","29.7000","41.5000","0","セラコン1005サイズ"
"C19","GRM1885C1H101JA01D","BottomLayer","C1608","48.8000","43.5000","90","セラコン1608サイズ"
"C17","GRM1552C1H101J","BottomLayer","C1005","45.9000","64.6000","270","セラコン1005サイズ"
"C16","GRM155B11H472K","BottomLayer","C1005","20.6000","44.6350","180","セラコン1005サイズ"
"C15","GRM155F11H103Z","BottomLayer","C1005","20.6000","43.3650","180","セラコン1005サイズ"
"C14","GRM155F11H103Z","BottomLayer","C1005","20.6000","45.9050","180","セラコン1005サイズ"
"C13","GRM1552C1H102J","BottomLayer","C1005","26.0000","44.6350","0","セラコン1005サイズ"
"C12","GRM1552C1H221J","TopLayer","C1005","17.1000","44.6350","270","セラコン1005サイズ"
"C11","GRM155B11H472K","BottomLayer","C1005","26.0000","42.0950","180","セラコン1005サイズ"
"C10","GRM155B11H472K","BottomLayer","C1005","20.6000","42.0950","180","セラコン1005サイズ"
"C2","GRM1885C1H101JA01D","TopLayer","C1608","36.8000","54.0000","270","セラコン1608サイズ"
"USB1","DX07W024JA1R1000","BottomLayer","DX07W024JA1R1000","108.4250","144.9960","270","USB3.1 Type-C"
"JP5","SMD_JAMPER","TopLayer","SMD_JAMPER","88.5000","136.2000","180",""
"D5","CDBW0520L-G","BottomLayer","SOD-123","85.9000","135.0000","360","Schottky Rectifier"
"C18","GRM1885C1H101JA01D","BottomLayer","C1608","73.4000","151.4000","90","セラコン1608サイズ"
"+5V","TP1mm","TopLayer","TP1mm","104.0000","152.7000","270","Test-Point 1mm"
"+3.3V","TP1mm","TopLayer","TP1mm","107.5000","152.7000","180","Test-Point 1mm"
"TP8","TP1mm","TopLayer","TP1mm","103.4000","135.9000","180","Test-Point 1mm"
"GND","TP1mm","TopLayer","TP1mm","75.0000","157.0000","180","Test-Point 1mm"
"TP2","TP1mm","TopLayer","TP1mm","93.8000","150.6000","180","Test-Point 1mm"
"TP1","TP1mm","TopLayer","TP1mm","100.0000","151.0000","180","Test-Point 1mm"
"C1","GRM155F11H103Z","BottomLayer","C1005","72.8000","134.3000","90","セラコン1005サイズ"
"P1","FTSH-110-01-F-DV-K-P-TR","TopLayer","Headerpin_2x10","82.9650","154.1650","270","Header, 2 x 10 -Pin 1.27mm"
"U2","LTC1682IS8-3.3#PBF","TopLayer","SOIC8_3.9mm","96.7000","134.0000","360","IC REG CHARGE PUMP 3.3V 8SOIC"
"C9","GRM155B11H472K","BottomLayer","C1005","99.4000","133.3650","360","セラコン1005サイズ"
"C8","GRM155F11H103Z","BottomLayer","C1005","99.4000","134.6350","360","セラコン1005サイズ"
"C7","GRM155F11H103Z","BottomLayer","C1005","99.4000","132.0950","360","セラコン1005サイズ"
"C6","GRM1552C1H102J","BottomLayer","C1005","94.0000","133.3650","180","セラコン1005サイズ"
"C5","GRM1552C1H221J","TopLayer","C1005","102.9000","133.3650","90","セラコン1005サイズ"
"C4","GRM155B11H472K","BottomLayer","C1005","94.0000","135.9050","360","セラコン1005サイズ"
"C3","GRM155B11H472K","BottomLayer","C1005","99.4000","135.9050","360","セラコン1005サイズ"
"U6","OPA2330AIDR","TopLayer","SOIC8_3.9mm","96.7000","141.0000","360","CMOS ゼロドリフトアンプ 2回路 レールツーレール 8SOIC"
"U5","AD7680BRJZ","TopLayer","SOT-23-6","83.0000","140.3650","90","16bit ADC 2.5V～5.5V SOT23"
"U4","NINA-B302","BottomLayer","NINA_LGA67R_1500X1000X338_PIFA","67.0000","141.0000","270","u-blox NINA-B302 Bluetooth 5 LE, 802.15.4 module"
"U3","LTC1682IS8-5#PBF","TopLayer","SOIC8_3.9mm","96.7000","156.0000","360","IC REG CHARGE PUMP 5V MSOP8"
"U1","CLB2032BUPB","BottomLayer","CLB2032BUPB","84.5000","146.2000","360","CLB電池ユニット　ピンタイプ"
"SW2","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","69.5500","153.8000","270","Tactile Switch 6 x 6mm"
"SW1","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","69.5500","141.9000","90","Tactile Switch 6 x 6mm"
"R24","RG1608P-114-B-T5","TopLayer","R1608","81.8000","146.0000","90","薄膜チップ抵抗1608サイズ"
"R23","RG1608P-303-B-T5","TopLayer","R1608","80.4000","146.0000","90","薄膜チップ抵抗1608サイズ"
"R21","RG1608P-114-B-T5","BottomLayer","R1608","99.4000","140.3650","360","薄膜チップ抵抗1608サイズ"
"R20","RG1608P-303-B-T5","BottomLayer","R1608","99.4000","139.0950","360","薄膜チップ抵抗1608サイズ"
"R18","RG1608P-204-B-T5","TopLayer","R1608","89.5000","140.3650","360","薄膜チップ抵抗1608サイズ"
"R17","RT0603DRD071ML","BottomLayer","R1608","96.7000","152.3000","180","薄膜チップ抵抗1608サイズ"
"R14","RG1608P-102-B-T5","TopLayer","R1608","96.7000","152.3000","180","薄膜チップ抵抗1608サイズ"
"R12","SM-3TW502","TopLayer","SM-3TW","86.5000","146.0000","90","CERMET TRIMMER 11 turns Top adjustmet"
"R11","RG1005P-103-B-T5","BottomLayer","R1005","67.8000","157.0000","180","薄膜チップ抵抗1005サイズ"
"R10","RG1608P-103-B-T5","BottomLayer","R1608","68.0000","155.8000","360","薄膜チップ抵抗1608サイズ"
"R8","RG1005P-332-B-T5","BottomLayer","R1005","75.2000","135.4000","90","薄膜チップ抵抗1005サイズ"
"R7","RG1005P-332-B-T5","BottomLayer","R1005","79.5400","135.4000","90","薄膜チップ抵抗1005サイズ"
"R6","RG1005P-103-B-T5","BottomLayer","R1005","94.0000","156.6350","180","薄膜チップ抵抗1005サイズ"
"R5","RG1005P-512-B-T5","BottomLayer","R1005","107.0000","138.0000","180","薄膜チップ抵抗1005サイズ"
"R4","RG1005P-512-B-T5","TopLayer","R1005","105.3000","143.9000","270","薄膜チップ抵抗1005サイズ"
"R3","RG1005P-103-B-T5","TopLayer","R1005","74.0000","142.0000","90","薄膜チップ抵抗1005サイズ"
"R2","RG1608P-103-B-T5","TopLayer","R1608","79.0000","146.0000","90","薄膜チップ抵抗1608サイズ"
"R1","RG1608P-114-B-T5","TopLayer","R1608","89.5000","141.6350","360","薄膜チップ抵抗1608サイズ"
"PTC1","1206L016WR","TopLayer","1206L","103.4000","141.8000","270","Resettable PTC"
"LED2","OSRGHC3131A","TopLayer","LED3COLORS","77.0000","133.0000","360","2色LED（赤,青）"
"LED1","WP710A10GD","TopLayer","LED_T1","84.0000","133.0000","270","LED T1 GREEN"
"JP6","SMD_JAMPER","TopLayer","SMD_JAMPER","76.5000","141.9000","360",""
"JP4","SMD_JAMPER","TopLayer","SMD_JAMPER","76.5000","137.9250","360",""
"JP3","SMD_JAMPER","TopLayer","SMD_JAMPER","64.1000","141.9000","360",""
"JP2","SMD_JAMPER","TopLayer","SMD_JAMPER","76.5000","145.8750","360",""
"JP1","SMD_JAMPER","TopLayer","SMD_JAMPER","64.1000","145.8750","360",""
"J1","B02B-PASK-1","BottomLayer","B02B-PASK-1","102.8500","148.7500","90","雄,ストレート,1列2ピン"
"D4","BAT54STA","TopLayer","SOT-23","98.9000","146.5000","270","ダブル直列ショットキー"
"D3","BAT54STA","TopLayer","SOT-23","94.5000","146.5000","270","ダブル直列ショットキー"
"D2","BAT54STA","TopLayer","SOT-23","63.9000","150.4000","270","ダブル直列ショットキー"
"D1","CDBW0520L-G","TopLayer","SOD-123","81.5000","136.3000","180","Schottky Rectifier"
"C23","C1608X5R1A106M080AC","TopLayer","C1608","96.7000","151.0000","360","セラコン1608サイズ"
"C22","GRM1552C1H101J","BottomLayer","C1005","99.4000","142.9050","360","セラコン1005サイズ"
"C21","GRM1552C1H101J","TopLayer","C1005","86.3000","139.9000","270","セラコン1005サイズ"
"C20","GRM1552C1H101J","BottomLayer","C1005","90.3000","158.5000","180","セラコン1005サイズ"
"C19","GRM1885C1H101JA01D","BottomLayer","C1608","71.2000","156.5000","270","セラコン1608サイズ"
"C17","GRM1552C1H101J","BottomLayer","C1005","74.1000","135.4000","90","セラコン1005サイズ"
"C16","GRM155B11H472K","BottomLayer","C1005","99.4000","155.3650","360","セラコン1005サイズ"
"C15","GRM155F11H103Z","BottomLayer","C1005","99.4000","156.6350","360","セラコン1005サイズ"
"C14","GRM155F11H103Z","BottomLayer","C1005","99.4000","154.0950","360","セラコン1005サイズ"
"C13","GRM1552C1H102J","BottomLayer","C1005","94.0000","155.3650","180","セラコン1005サイズ"
"C12","GRM1552C1H221J","TopLayer","C1005","102.9000","155.3650","90","セラコン1005サイズ"
"C11","GRM155B11H472K","BottomLayer","C1005","94.0000","157.9050","360","セラコン1005サイズ"
"C10","GRM155B11H472K","BottomLayer","C1005","99.4000","157.9050","360","セラコン1005サイズ"
"C2","GRM1885C1H101JA01D","TopLayer","C1608","83.2000","146.0000","90","セラコン1608サイズ"
"USB1","DX07W024JA1R1000","BottomLayer","DX07W024JA1R1000","108.4250","114.9960","270","USB3.1 Type-C"
"JP5","SMD_JAMPER","TopLayer","SMD_JAMPER","88.5000","106.2000","180",""
"D5","CDBW0520L-G","BottomLayer","SOD-123","85.9000","105.0000","360","Schottky Rectifier"
"C18","GRM1885C1H101JA01D","BottomLayer","C1608","73.4000","121.4000","90","セラコン1608サイズ"
"+5V","TP1mm","TopLayer","TP1mm","104.0000","122.7000","270","Test-Point 1mm"
"+3.3V","TP1mm","TopLayer","TP1mm","107.5000","122.7000","180","Test-Point 1mm"
"TP8","TP1mm","TopLayer","TP1mm","103.4000","105.9000","180","Test-Point 1mm"
"GND","TP1mm","TopLayer","TP1mm","75.0000","127.0000","180","Test-Point 1mm"
"TP2","TP1mm","TopLayer","TP1mm","93.8000","120.6000","180","Test-Point 1mm"
"TP1","TP1mm","TopLayer","TP1mm","100.0000","121.0000","180","Test-Point 1mm"
"C1","GRM155F11H103Z","BottomLayer","C1005","72.8000","104.3000","90","セラコン1005サイズ"
"P1","FTSH-110-01-F-DV-K-P-TR","TopLayer","Headerpin_2x10","82.9650","124.1650","270","Header, 2 x 10 -Pin 1.27mm"
"U2","LTC1682IS8-3.3#PBF","TopLayer","SOIC8_3.9mm","96.7000","104.0000","360","IC REG CHARGE PUMP 3.3V 8SOIC"
"C9","GRM155B11H472K","BottomLayer","C1005","99.4000","103.3650","360","セラコン1005サイズ"
"C8","GRM155F11H103Z","BottomLayer","C1005","99.4000","104.6350","360","セラコン1005サイズ"
"C7","GRM155F11H103Z","BottomLayer","C1005","99.4000","102.0950","360","セラコン1005サイズ"
"C6","GRM1552C1H102J","BottomLayer","C1005","94.0000","103.3650","180","セラコン1005サイズ"
"C5","GRM1552C1H221J","TopLayer","C1005","102.9000","103.3650","90","セラコン1005サイズ"
"C4","GRM155B11H472K","BottomLayer","C1005","94.0000","105.9050","360","セラコン1005サイズ"
"C3","GRM155B11H472K","BottomLayer","C1005","99.4000","105.9050","360","セラコン1005サイズ"
"U6","OPA2330AIDR","TopLayer","SOIC8_3.9mm","96.7000","111.0000","360","CMOS ゼロドリフトアンプ 2回路 レールツーレール 8SOIC"
"U5","AD7680BRJZ","TopLayer","SOT-23-6","83.0000","110.3650","90","16bit ADC 2.5V～5.5V SOT23"
"U4","NINA-B302","BottomLayer","NINA_LGA67R_1500X1000X338_PIFA","67.0000","111.0000","270","u-blox NINA-B302 Bluetooth 5 LE, 802.15.4 module"
"U3","LTC1682IS8-5#PBF","TopLayer","SOIC8_3.9mm","96.7000","126.0000","360","IC REG CHARGE PUMP 5V MSOP8"
"U1","CLB2032BUPB","BottomLayer","CLB2032BUPB","84.5000","116.2000","360","CLB電池ユニット　ピンタイプ"
"SW2","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","69.5500","123.8000","270","Tactile Switch 6 x 6mm"
"SW1","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","69.5500","111.9000","90","Tactile Switch 6 x 6mm"
